EventID,edep_MeV,dose_Gy
0,6.228927e-01,2.141597e-10
1,7.047535e-01,2.423046e-10
2,7.593960e-01,2.610915e-10
3,7.994384e-01,2.748587e-10
4,6.843658e-01,2.352950e-10
5,7.469004e-01,2.567954e-10
6,7.465358e-01,2.566700e-10
7,6.006312e-01,2.065059e-10
8,6.733960e-01,2.315234e-10
9,6.793555e-01,2.335724e-10
10,6.226866e-01,2.140888e-10
11,8.986427e-01,3.089666e-10
12,6.161317e-01,2.118351e-10
13,7.671074e-01,2.637428e-10
14,5.900425e-01,2.028653e-10
15,9.702681e-01,3.335925e-10
16,7.273169e-01,2.500623e-10
17,6.359272e-01,2.186411e-10
18,7.401346e-01,2.544692e-10
19,6.537464e-01,2.247677e-10
20,6.846968e-01,2.354088e-10
21,6.854022e-01,2.356514e-10
22,8.432171e-01,2.899105e-10
23,6.490157e-01,2.231412e-10
24,5.451298e-01,1.874237e-10
25,5.550221e-01,1.908248e-10
26,8.212938e-01,2.823729e-10
27,5.925859e-01,2.037397e-10
28,5.435442e-01,1.868785e-10
29,6.365677e-01,2.188613e-10
30,6.509910e-01,2.238203e-10
31,8.128232e-01,2.794606e-10
32,7.898187e-01,2.715513e-10
33,6.262747e-01,2.153225e-10
34,7.576953e-01,2.605068e-10
35,5.707039e-01,1.962164e-10
36,6.214936e-01,2.136786e-10
37,6.599597e-01,2.269039e-10
38,6.168812e-01,2.120928e-10
39,5.656295e-01,1.944718e-10
40,6.883851e-01,2.366769e-10
41,8.407379e-01,2.890581e-10
42,8.270172e-01,2.843407e-10
43,5.934338e-01,2.040313e-10
44,7.189785e-01,2.471954e-10
45,8.242417e-01,2.833864e-10
46,5.762254e-01,1.981148e-10
47,6.389067e-01,2.196655e-10
48,5.442314e-01,1.871148e-10
49,5.991418e-01,2.059938e-10
50,6.295457e-01,2.164471e-10
51,6.868031e-01,2.361330e-10
52,5.690630e-01,1.956522e-10
53,5.683418e-01,1.954043e-10
54,5.917307e-01,2.034457e-10
55,6.778184e-01,2.330440e-10
56,5.726860e-01,1.968979e-10
57,5.795809e-01,1.992684e-10
58,6.488889e-01,2.230976e-10
59,7.042078e-01,2.421170e-10
60,8.812857e-01,3.029990e-10
61,6.968068e-01,2.395724e-10
62,6.883550e-01,2.366666e-10
63,7.125761e-01,2.449942e-10
64,6.332165e-01,2.177092e-10
65,5.925546e-01,2.037290e-10
66,6.680617e-01,2.296894e-10
67,7.176103e-01,2.467250e-10
68,5.843107e-01,2.008946e-10
69,8.386205e-01,2.883301e-10
70,7.296017e-01,2.508478e-10
71,6.126351e-01,2.106330e-10
72,6.790097e-01,2.334536e-10
73,6.644086e-01,2.284334e-10
74,7.177164e-01,2.467615e-10
75,7.176036e-01,2.467227e-10
76,7.055278e-01,2.425708e-10
77,7.505089e-01,2.580360e-10
78,9.434508e-01,3.243723e-10
79,6.532583e-01,2.245998e-10
80,6.918015e-01,2.378515e-10
81,1.012592e+00,3.481440e-10
82,6.299063e-01,2.165711e-10
83,6.747809e-01,2.319996e-10
84,7.595878e-01,2.611575e-10
85,6.235885e-01,2.143989e-10
86,1.030826e+00,3.544132e-10
87,6.298189e-01,2.165410e-10
88,7.860562e-01,2.702577e-10
89,7.634376e-01,2.624811e-10
90,6.041473e-01,2.077147e-10
91,6.055948e-01,2.082124e-10
92,6.090161e-01,2.093887e-10
93,5.869418e-01,2.017992e-10
94,6.134386e-01,2.109092e-10
95,7.417829e-01,2.550359e-10
96,5.928820e-01,2.038416e-10
97,6.057471e-01,2.082648e-10
98,7.092213e-01,2.438407e-10
99,5.770923e-01,1.984128e-10
100,7.701879e-01,2.648019e-10
101,6.774125e-01,2.329044e-10
102,6.704295e-01,2.305035e-10
103,6.653142e-01,2.287448e-10
104,5.941180e-01,2.042665e-10
105,7.287040e-01,2.505392e-10
106,8.451122e-01,2.905620e-10
107,6.140649e-01,2.111246e-10
108,6.366425e-01,2.188871e-10
109,6.135907e-01,2.109615e-10
110,7.476160e-01,2.570414e-10
111,7.219526e-01,2.482179e-10
112,8.500329e-01,2.922538e-10
113,7.219083e-01,2.482027e-10
114,6.537592e-01,2.247720e-10
115,6.196918e-01,2.130592e-10
116,7.163151e-01,2.462797e-10
117,6.979231e-01,2.399562e-10
118,6.833582e-01,2.349486e-10
119,6.563387e-01,2.256589e-10
120,6.146563e-01,2.113279e-10
121,6.709587e-01,2.306855e-10
122,8.198814e-01,2.818873e-10
123,6.731778e-01,2.314484e-10
124,7.465824e-01,2.566860e-10
125,6.218947e-01,2.138165e-10
126,6.754021e-01,2.322132e-10
127,9.333751e-01,3.209081e-10
128,6.478168e-01,2.227290e-10
129,6.549131e-01,2.251688e-10
130,7.736787e-01,2.660021e-10
131,7.491549e-01,2.575705e-10
132,7.114519e-01,2.446076e-10
133,5.802923e-01,1.995130e-10
134,5.554893e-01,1.909854e-10
135,5.848907e-01,2.010940e-10
136,7.038680e-01,2.420002e-10
137,7.396202e-01,2.542923e-10
138,5.839268e-01,2.007626e-10
139,5.670126e-01,1.949473e-10
140,5.724160e-01,1.968050e-10
141,6.504584e-01,2.236372e-10
142,6.350554e-01,2.183414e-10
143,6.337708e-01,2.178997e-10
144,0.000000e+00,0.000000e+00
145,6.182993e-01,2.125804e-10
146,7.956840e-01,2.735679e-10
147,5.800736e-01,1.994378e-10
148,6.563368e-01,2.256583e-10
149,8.317508e-01,2.859682e-10
