cellId,x_mm,y_mm,z_mm,dose_Gy
0,0,0,0,2.141597e-10
1,1,0,0,2.423046e-10
2,2,0,0,2.610915e-10
3,3,0,0,2.748587e-10
4,4,0,0,2.352950e-10
5,5,0,0,2.567954e-10
6,6,0,0,2.566700e-10
7,7,0,0,2.065059e-10
8,8,0,0,2.315234e-10
9,9,0,0,2.335724e-10
10,10,0,0,2.140888e-10
11,11,0,0,3.089666e-10
12,12,0,0,2.118351e-10
13,13,0,0,2.637428e-10
14,14,0,0,2.028653e-10
15,15,0,0,3.335925e-10
16,16,0,0,2.500623e-10
17,17,0,0,2.186411e-10
18,18,0,0,2.544692e-10
19,19,0,0,2.247677e-10
20,20,0,0,2.354088e-10
21,21,0,0,2.356514e-10
22,22,0,0,2.899105e-10
23,23,0,0,2.231412e-10
24,24,0,0,1.874237e-10
25,25,0,0,1.908248e-10
26,26,0,0,2.823729e-10
27,27,0,0,2.037397e-10
28,28,0,0,1.868785e-10
29,29,0,0,2.188613e-10
30,30,0,0,2.238203e-10
31,31,0,0,2.794606e-10
32,32,0,0,2.715513e-10
33,33,0,0,2.153225e-10
34,34,0,0,2.605068e-10
35,35,0,0,1.962164e-10
36,36,0,0,2.136786e-10
37,37,0,0,2.269039e-10
38,38,0,0,2.120928e-10
39,39,0,0,1.944718e-10
40,40,0,0,2.366769e-10
41,41,0,0,2.890581e-10
42,42,0,0,2.843407e-10
43,43,0,0,2.040313e-10
44,44,0,0,2.471954e-10
45,45,0,0,2.833864e-10
46,46,0,0,1.981148e-10
47,47,0,0,2.196655e-10
48,48,0,0,1.871148e-10
49,49,0,0,2.059938e-10
50,50,0,0,2.164471e-10
51,51,0,0,2.361330e-10
52,52,0,0,1.956522e-10
53,53,0,0,1.954043e-10
54,54,0,0,2.034457e-10
55,55,0,0,2.330440e-10
56,56,0,0,1.968979e-10
57,57,0,0,1.992684e-10
58,58,0,0,2.230976e-10
59,59,0,0,2.421170e-10
60,60,0,0,3.029990e-10
61,61,0,0,2.395724e-10
62,62,0,0,2.366666e-10
63,63,0,0,2.449942e-10
64,64,0,0,2.177092e-10
65,65,0,0,2.037290e-10
66,66,0,0,2.296894e-10
67,67,0,0,2.467250e-10
68,68,0,0,2.008946e-10
69,69,0,0,2.883301e-10
70,70,0,0,2.508478e-10
71,71,0,0,2.106330e-10
72,72,0,0,2.334536e-10
73,73,0,0,2.284334e-10
74,74,0,0,2.467615e-10
75,75,0,0,2.467227e-10
76,76,0,0,2.425708e-10
77,77,0,0,2.580360e-10
78,78,0,0,3.243723e-10
79,79,0,0,2.245998e-10
80,80,0,0,2.378515e-10
81,81,0,0,3.481440e-10
82,82,0,0,2.165711e-10
83,83,0,0,2.319996e-10
84,84,0,0,2.611575e-10
85,85,0,0,2.143989e-10
86,86,0,0,3.544132e-10
87,87,0,0,2.165410e-10
88,88,0,0,2.702577e-10
89,89,0,0,2.624811e-10
90,90,0,0,2.077147e-10
91,91,0,0,2.082124e-10
92,92,0,0,2.093887e-10
93,93,0,0,2.017992e-10
94,94,0,0,2.109092e-10
95,95,0,0,2.550359e-10
96,96,0,0,2.038416e-10
97,97,0,0,2.082648e-10
98,98,0,0,2.438407e-10
99,99,0,0,1.984128e-10
100,100,0,0,2.648019e-10
101,101,0,0,2.329044e-10
102,102,0,0,2.305035e-10
103,103,0,0,2.287448e-10
104,104,0,0,2.042665e-10
105,105,0,0,2.505392e-10
106,106,0,0,2.905620e-10
107,107,0,0,2.111246e-10
108,108,0,0,2.188871e-10
109,109,0,0,2.109615e-10
110,110,0,0,2.570414e-10
111,111,0,0,2.482179e-10
112,112,0,0,2.922538e-10
113,113,0,0,2.482027e-10
114,114,0,0,2.247720e-10
115,115,0,0,2.130592e-10
116,116,0,0,2.462797e-10
117,117,0,0,2.399562e-10
118,118,0,0,2.349486e-10
119,119,0,0,2.256589e-10
120,120,0,0,2.113279e-10
121,121,0,0,2.306855e-10
122,122,0,0,2.818873e-10
123,123,0,0,2.314484e-10
124,124,0,0,2.566860e-10
125,125,0,0,2.138165e-10
126,126,0,0,2.322132e-10
127,127,0,0,3.209081e-10
128,128,0,0,2.227290e-10
129,129,0,0,2.251688e-10
130,130,0,0,2.660021e-10
131,131,0,0,2.575705e-10
132,132,0,0,2.446076e-10
133,133,0,0,1.995130e-10
134,134,0,0,1.909854e-10
135,135,0,0,2.010940e-10
136,136,0,0,2.420002e-10
137,137,0,0,2.542923e-10
138,138,0,0,2.007626e-10
139,139,0,0,1.949473e-10
140,140,0,0,1.968050e-10
141,141,0,0,2.236372e-10
142,142,0,0,2.183414e-10
143,143,0,0,2.178997e-10
144,144,0,0,0.000000e+00
145,145,0,0,2.125804e-10
146,146,0,0,2.735679e-10
147,147,0,0,1.994378e-10
148,148,0,0,2.256583e-10
149,149,0,0,2.859682e-10
150,150,0,0,2.315128e-10
151,151,0,0,2.477594e-10
152,152,0,0,2.373259e-10
153,153,0,0,2.904205e-10
154,154,0,0,2.251850e-10
155,155,0,0,2.322047e-10
156,156,0,0,2.310493e-10
157,157,0,0,3.054787e-10
158,158,0,0,2.297249e-10
159,159,0,0,2.132896e-10
160,160,0,0,2.394547e-10
161,161,0,0,2.193749e-10
162,162,0,0,2.157359e-10
163,163,0,0,2.237009e-10
164,164,0,0,2.045747e-10
165,165,0,0,2.181277e-10
166,166,0,0,2.168472e-10
167,167,0,0,2.628345e-10
168,168,0,0,2.413559e-10
169,169,0,0,2.077855e-10
170,170,0,0,2.012214e-10
171,171,0,0,2.441637e-10
172,172,0,0,2.179940e-10
173,173,0,0,2.085238e-10
174,174,0,0,2.168971e-10
175,175,0,0,2.343395e-10
176,176,0,0,2.022601e-10
177,177,0,0,1.765615e-10
178,178,0,0,1.975633e-10
179,179,0,0,2.102099e-10
180,180,0,0,2.093898e-10
181,181,0,0,2.086149e-10
182,182,0,0,2.366373e-10
183,183,0,0,2.572403e-10
184,184,0,0,2.622982e-10
185,185,0,0,2.142441e-10
186,186,0,0,2.579139e-10
187,187,0,0,2.306594e-10
188,188,0,0,2.127385e-10
189,189,0,0,2.655273e-10
190,190,0,0,2.581298e-10
191,191,0,0,2.240282e-10
192,192,0,0,2.641207e-10
193,193,0,0,2.089691e-10
194,194,0,0,2.394480e-10
195,195,0,0,2.051844e-10
196,196,0,0,2.289073e-10
197,197,0,0,2.214448e-10
198,198,0,0,2.151299e-10
199,199,0,0,2.973849e-10
200,200,0,0,2.125883e-10
201,201,0,0,1.943535e-10
202,202,0,0,2.579538e-10
203,203,0,0,2.403457e-10
204,204,0,0,2.729223e-10
205,205,0,0,1.885670e-10
206,206,0,0,2.470462e-10
207,207,0,0,1.971953e-10
208,208,0,0,2.266483e-10
209,209,0,0,2.283130e-10
210,210,0,0,2.387254e-10
211,211,0,0,2.208379e-10
212,212,0,0,2.137024e-10
213,213,0,0,3.157500e-10
214,214,0,0,2.198657e-10
215,215,0,0,3.598545e-10
216,216,0,0,2.508645e-10
217,217,0,0,3.559316e-10
218,218,0,0,2.184589e-10
219,219,0,0,2.823656e-10
220,220,0,0,2.896276e-10
221,221,0,0,2.729070e-10
222,222,0,0,2.293190e-10
223,223,0,0,2.084954e-10
224,224,0,0,3.280319e-10
225,225,0,0,2.375032e-10
226,226,0,0,1.952268e-10
227,227,0,0,2.340584e-10
228,228,0,0,2.534115e-10
229,229,0,0,2.987517e-10
230,230,0,0,2.412873e-10
231,231,0,0,2.793051e-10
232,232,0,0,2.243574e-10
233,233,0,0,2.537229e-10
234,234,0,0,3.008808e-10
235,235,0,0,2.130189e-10
236,236,0,0,2.225084e-10
237,237,0,0,2.182758e-10
238,238,0,0,2.228979e-10
239,239,0,0,2.281424e-10
240,240,0,0,2.263403e-10
241,241,0,0,2.054409e-10
242,242,0,0,2.082921e-10
243,243,0,0,2.966928e-10
244,244,0,0,2.663741e-10
245,245,0,0,3.184937e-10
246,246,0,0,2.251099e-10
247,247,0,0,2.378314e-10
248,248,0,0,2.045425e-10
249,249,0,0,2.107481e-10
250,250,0,0,2.243472e-10
251,251,0,0,2.298157e-10
252,252,0,0,2.995624e-10
253,253,0,0,2.543110e-10
254,254,0,0,2.302999e-10
255,255,0,0,2.324694e-10
256,256,0,0,2.220169e-10
257,257,0,0,2.096646e-10
258,258,0,0,2.183882e-10
259,259,0,0,2.242177e-10
260,260,0,0,2.596091e-10
261,261,0,0,2.008010e-10
262,262,0,0,2.255154e-10
263,263,0,0,2.376333e-10
264,264,0,0,2.618008e-10
265,265,0,0,2.288874e-10
266,266,0,0,2.199722e-10
267,267,0,0,2.108139e-10
268,268,0,0,1.859327e-10
269,269,0,0,2.204289e-10
270,270,0,0,2.228317e-10
271,271,0,0,2.506944e-10
272,272,0,0,1.984648e-10
273,273,0,0,2.206059e-10
274,274,0,0,1.961506e-10
275,275,0,0,2.122931e-10
276,276,0,0,2.150538e-10
277,277,0,0,2.293235e-10
278,278,0,0,2.473965e-10
279,279,0,0,2.714201e-10
280,280,0,0,2.473413e-10
281,281,0,0,3.115644e-10
282,282,0,0,2.288356e-10
283,283,0,0,2.936687e-10
284,284,0,0,2.314724e-10
285,285,0,0,2.369457e-10
286,286,0,0,3.172828e-10
287,287,0,0,2.545972e-10
288,288,0,0,2.401610e-10
289,289,0,0,2.547474e-10
290,290,0,0,2.225162e-10
291,291,0,0,2.243355e-10
292,292,0,0,2.061905e-10
293,293,0,0,2.549795e-10
294,294,0,0,2.378056e-10
295,295,0,0,2.429382e-10
296,296,0,0,2.835936e-10
297,297,0,0,2.013407e-10
298,298,0,0,2.041672e-10
299,299,0,0,2.295784e-10
300,300,0,0,2.930005e-10
301,301,0,0,2.142318e-10
302,302,0,0,2.576713e-10
303,303,0,0,2.482989e-10
304,304,0,0,2.705497e-10
305,305,0,0,2.407775e-10
306,306,0,0,2.055511e-10
307,307,0,0,2.688244e-10
308,308,0,0,2.794077e-10
309,309,0,0,2.618174e-10
310,310,0,0,2.337128e-10
311,311,0,0,2.414981e-10
312,312,0,0,2.688578e-10
313,313,0,0,2.600231e-10
314,314,0,0,2.221493e-10
315,315,0,0,2.475928e-10
316,316,0,0,2.239503e-10
317,317,0,0,2.289778e-10
318,318,0,0,1.946352e-10
319,319,0,0,2.375311e-10
320,320,0,0,2.485632e-10
321,321,0,0,2.432481e-10
322,322,0,0,2.407282e-10
323,323,0,0,1.917067e-10
324,324,0,0,2.216359e-10
325,325,0,0,2.447985e-10
326,326,0,0,2.735975e-10
327,327,0,0,2.620118e-10
328,328,0,0,2.059970e-10
329,329,0,0,2.634751e-10
330,330,0,0,2.635962e-10
331,331,0,0,2.221769e-10
332,332,0,0,2.038523e-10
333,333,0,0,2.568592e-10
334,334,0,0,2.219329e-10
335,335,0,0,2.018409e-10
336,336,0,0,2.754833e-10
337,337,0,0,2.672376e-10
338,338,0,0,2.002289e-10
339,339,0,0,2.384802e-10
340,340,0,0,2.981170e-10
341,341,0,0,1.983900e-10
342,342,0,0,1.989988e-10
343,343,0,0,1.976517e-10
344,344,0,0,2.177959e-10
345,345,0,0,2.294981e-10
346,346,0,0,2.078491e-10
347,347,0,0,2.401953e-10
348,348,0,0,2.742067e-10
349,349,0,0,2.548456e-10
350,350,0,0,2.084302e-10
351,351,0,0,2.238451e-10
352,352,0,0,2.071200e-10
353,353,0,0,2.104022e-10
354,354,0,0,2.409654e-10
355,355,0,0,1.863311e-10
356,356,0,0,2.031190e-10
357,357,0,0,2.687428e-10
358,358,0,0,2.138000e-10
359,359,0,0,2.241898e-10
360,360,0,0,2.600870e-10
361,361,0,0,2.538053e-10
362,362,0,0,2.459318e-10
363,363,0,0,2.202719e-10
364,364,0,0,2.855946e-10
365,365,0,0,2.240181e-10
366,366,0,0,2.388160e-10
367,367,0,0,2.100016e-10
368,368,0,0,2.517251e-10
369,369,0,0,2.092736e-10
370,370,0,0,2.315287e-10
371,371,0,0,3.051602e-10
372,372,0,0,2.631345e-10
373,373,0,0,2.188131e-10
374,374,0,0,2.111866e-10
375,375,0,0,2.483245e-10
376,376,0,0,2.021274e-10
377,377,0,0,2.687223e-10
378,378,0,0,2.029333e-10
379,379,0,0,1.861107e-10
380,380,0,0,2.454630e-10
381,381,0,0,2.699301e-10
382,382,0,0,1.992065e-10
383,383,0,0,2.608375e-10
384,384,0,0,2.376478e-10
385,385,0,0,2.360015e-10
386,386,0,0,2.150776e-10
387,387,0,0,2.634402e-10
388,388,0,0,2.925501e-10
389,389,0,0,2.203827e-10
390,390,0,0,2.384220e-10
391,391,0,0,2.086680e-10
392,392,0,0,3.208675e-10
393,393,0,0,2.648676e-10
394,394,0,0,2.736551e-10
395,395,0,0,2.063955e-10
396,396,0,0,1.874966e-10
397,397,0,0,2.028440e-10
398,398,0,0,2.068781e-10
399,399,0,0,2.161334e-10
400,400,0,0,2.358069e-10
401,401,0,0,2.707286e-10
402,402,0,0,2.723247e-10
403,403,0,0,3.041567e-10
404,404,0,0,2.633723e-10
405,405,0,0,2.461300e-10
406,406,0,0,2.059739e-10
407,407,0,0,2.020331e-10
408,408,0,0,2.000134e-10
409,409,0,0,2.394965e-10
410,410,0,0,2.216877e-10
411,411,0,0,3.261706e-10
412,412,0,0,1.933511e-10
413,413,0,0,2.006937e-10
414,414,0,0,2.355927e-10
415,415,0,0,2.018961e-10
416,416,0,0,2.146767e-10
417,417,0,0,2.585649e-10
418,418,0,0,2.204808e-10
419,419,0,0,2.209055e-10
420,420,0,0,2.668403e-10
421,421,0,0,2.902061e-10
422,422,0,0,2.039780e-10
423,423,0,0,1.949287e-10
424,424,0,0,2.273382e-10
425,425,0,0,2.893821e-10
426,426,0,0,2.080781e-10
427,427,0,0,2.990051e-10
428,428,0,0,3.213577e-10
429,429,0,0,2.961675e-10
430,430,0,0,2.289295e-10
431,431,0,0,2.202169e-10
432,432,0,0,2.916740e-10
433,433,0,0,2.115298e-10
434,434,0,0,2.121639e-10
435,435,0,0,2.345837e-10
436,436,0,0,2.586748e-10
437,437,0,0,2.292045e-10
438,438,0,0,2.523227e-10
439,439,0,0,2.460649e-10
440,440,0,0,3.025370e-10
441,441,0,0,2.812185e-10
442,442,0,0,2.642163e-10
443,443,0,0,2.416628e-10
444,444,0,0,2.083339e-10
445,445,0,0,2.487686e-10
446,446,0,0,3.015209e-10
447,447,0,0,2.088421e-10
448,448,0,0,2.236145e-10
449,449,0,0,2.094288e-10
450,450,0,0,2.125909e-10
451,451,0,0,2.334985e-10
452,452,0,0,2.166427e-10
453,453,0,0,2.560205e-10
454,454,0,0,1.919674e-10
455,455,0,0,2.529778e-10
456,456,0,0,2.443957e-10
457,457,0,0,2.290194e-10
458,458,0,0,1.982671e-10
459,459,0,0,2.625416e-10
460,460,0,0,2.876361e-10
461,461,0,0,2.062399e-10
462,462,0,0,2.617790e-10
463,463,0,0,2.062758e-10
464,464,0,0,2.282928e-10
465,465,0,0,2.674971e-10
466,466,0,0,2.357667e-10
467,467,0,0,2.137307e-10
468,468,0,0,2.378884e-10
469,469,0,0,1.887889e-10
470,470,0,0,2.098010e-10
471,471,0,0,2.218442e-10
472,472,0,0,2.266864e-10
473,473,0,0,2.420559e-10
474,474,0,0,2.059492e-10
475,475,0,0,2.083778e-10
476,476,0,0,2.270617e-10
477,477,0,0,2.275107e-10
478,478,0,0,2.177120e-10
479,479,0,0,2.392672e-10
480,480,0,0,2.208950e-10
481,481,0,0,2.451005e-10
482,482,0,0,2.254406e-10
483,483,0,0,2.739236e-10
484,484,0,0,2.973274e-10
485,485,0,0,2.280930e-10
486,486,0,0,2.081816e-10
487,487,0,0,2.061806e-10
488,488,0,0,2.412585e-10
489,489,0,0,2.445266e-10
490,490,0,0,2.358146e-10
491,491,0,0,2.433152e-10
492,492,0,0,2.255145e-10
493,493,0,0,2.291006e-10
494,494,0,0,2.401988e-10
495,495,0,0,2.445048e-10
496,496,0,0,2.349927e-10
497,497,0,0,3.020901e-10
498,498,0,0,3.050319e-10
499,499,0,0,2.863139e-10
500,500,0,0,3.286547e-10
501,501,0,0,2.170158e-10
502,502,0,0,2.471142e-10
503,503,0,0,2.653030e-10
504,504,0,0,2.370869e-10
505,505,0,0,2.093840e-10
506,506,0,0,2.712987e-10
507,507,0,0,3.056010e-10
508,508,0,0,2.627911e-10
509,509,0,0,2.689346e-10
510,510,0,0,2.362784e-10
511,511,0,0,2.558412e-10
512,512,0,0,2.110497e-10
513,513,0,0,2.166532e-10
514,514,0,0,1.383610e-09
515,515,0,0,2.388088e-10
516,516,0,0,2.944133e-10
517,517,0,0,2.753713e-10
518,518,0,0,1.898076e-10
519,519,0,0,1.862438e-10
520,520,0,0,1.820543e-10
521,521,0,0,1.994669e-10
522,522,0,0,1.978527e-10
523,523,0,0,2.010397e-10
524,524,0,0,2.444777e-10
525,525,0,0,2.099285e-10
526,526,0,0,2.030262e-10
527,527,0,0,2.142076e-10
528,528,0,0,2.714135e-10
529,529,0,0,2.077878e-10
530,530,0,0,2.562948e-10
531,531,0,0,1.909536e-10
532,532,0,0,1.955900e-10
533,533,0,0,2.594082e-10
534,534,0,0,2.283702e-10
535,535,0,0,1.974389e-10
536,536,0,0,2.260062e-10
537,537,0,0,2.856071e-10
538,538,0,0,1.922679e-10
539,539,0,0,2.429017e-10
540,540,0,0,2.176499e-10
541,541,0,0,2.423710e-10
542,542,0,0,2.409800e-10
543,543,0,0,2.027327e-10
544,544,0,0,2.469647e-10
545,545,0,0,2.321974e-10
546,546,0,0,2.642713e-10
547,547,0,0,2.661837e-10
548,548,0,0,2.050140e-10
549,549,0,0,1.866880e-10
550,550,0,0,2.097632e-10
551,551,0,0,2.362667e-10
552,552,0,0,2.421638e-10
553,553,0,0,2.169004e-10
554,554,0,0,2.159303e-10
555,555,0,0,2.257145e-10
556,556,0,0,3.077574e-10
557,557,0,0,2.278256e-10
558,558,0,0,2.238381e-10
559,559,0,0,2.230388e-10
560,560,0,0,2.064164e-10
561,561,0,0,2.053247e-10
562,562,0,0,2.624106e-10
563,563,0,0,2.402808e-10
564,564,0,0,2.169115e-10
565,565,0,0,2.240350e-10
566,566,0,0,2.102949e-10
567,567,0,0,2.058557e-10
568,568,0,0,2.108189e-10
569,569,0,0,3.075721e-10
570,570,0,0,2.066795e-10
571,571,0,0,2.122361e-10
572,572,0,0,2.375907e-10
573,573,0,0,1.946359e-10
574,574,0,0,2.018938e-10
575,575,0,0,2.326037e-10
576,576,0,0,2.323078e-10
577,577,0,0,2.025395e-10
578,578,0,0,2.144182e-10
579,579,0,0,1.963552e-10
580,580,0,0,1.973890e-10
581,581,0,0,2.335679e-10
582,582,0,0,2.415992e-10
583,583,0,0,2.470443e-10
584,584,0,0,2.558860e-10
585,585,0,0,2.090711e-10
586,586,0,0,2.860082e-10
587,587,0,0,2.364547e-10
588,588,0,0,2.096619e-10
589,589,0,0,2.362603e-10
590,590,0,0,2.131753e-10
591,591,0,0,3.421049e-10
592,592,0,0,2.294219e-10
593,593,0,0,2.180946e-10
594,594,0,0,2.100526e-10
595,595,0,0,3.156386e-10
596,596,0,0,2.377051e-10
597,597,0,0,1.984190e-10
598,598,0,0,1.927571e-10
599,599,0,0,2.749849e-10
600,600,0,0,2.141181e-10
601,601,0,0,2.101077e-10
602,602,0,0,1.878918e-10
603,603,0,0,2.028186e-10
604,604,0,0,2.192042e-10
605,605,0,0,2.375574e-10
606,606,0,0,2.460160e-10
607,607,0,0,2.443606e-10
608,608,0,0,2.127228e-10
609,609,0,0,2.861067e-10
610,610,0,0,2.525908e-10
611,611,0,0,1.995756e-10
612,612,0,0,2.334276e-10
613,613,0,0,2.127078e-10
614,614,0,0,2.121982e-10
615,615,0,0,2.144720e-10
616,616,0,0,2.401068e-10
617,617,0,0,2.486828e-10
618,618,0,0,3.018212e-10
619,619,0,0,2.607621e-10
620,620,0,0,2.604142e-10
621,621,0,0,2.295898e-10
622,622,0,0,3.813889e-10
623,623,0,0,2.214129e-10
624,624,0,0,2.096476e-10
