cellId,x_mm,y_mm,z_mm,edep_MeV
0,0,0,0,6.228927e-01
1,1,0,0,7.047535e-01
2,2,0,0,7.593960e-01
3,3,0,0,7.994384e-01
4,4,0,0,6.843658e-01
5,5,0,0,7.469004e-01
6,6,0,0,7.465358e-01
7,7,0,0,6.006312e-01
8,8,0,0,6.733960e-01
9,9,0,0,6.793555e-01
10,10,0,0,6.226866e-01
11,11,0,0,8.986427e-01
12,12,0,0,6.161317e-01
13,13,0,0,7.671074e-01
14,14,0,0,5.900425e-01
15,15,0,0,9.702681e-01
16,16,0,0,7.273169e-01
17,17,0,0,6.359272e-01
18,18,0,0,7.401346e-01
19,19,0,0,6.537464e-01
20,20,0,0,6.846968e-01
21,21,0,0,6.854022e-01
22,22,0,0,8.432171e-01
23,23,0,0,6.490157e-01
24,24,0,0,5.451298e-01
25,25,0,0,5.550221e-01
26,26,0,0,8.212938e-01
27,27,0,0,5.925859e-01
28,28,0,0,5.435442e-01
29,29,0,0,6.365677e-01
30,30,0,0,6.509910e-01
31,31,0,0,8.128232e-01
32,32,0,0,7.898187e-01
33,33,0,0,6.262747e-01
34,34,0,0,7.576953e-01
35,35,0,0,5.707039e-01
36,36,0,0,6.214936e-01
37,37,0,0,6.599597e-01
38,38,0,0,6.168812e-01
39,39,0,0,5.656295e-01
40,40,0,0,6.883851e-01
41,41,0,0,8.407379e-01
42,42,0,0,8.270172e-01
43,43,0,0,5.934338e-01
44,44,0,0,7.189785e-01
45,45,0,0,8.242417e-01
46,46,0,0,5.762254e-01
47,47,0,0,6.389067e-01
48,48,0,0,5.442314e-01
49,49,0,0,5.991418e-01
50,50,0,0,6.295457e-01
51,51,0,0,6.868031e-01
52,52,0,0,5.690630e-01
53,53,0,0,5.683418e-01
54,54,0,0,5.917307e-01
55,55,0,0,6.778184e-01
56,56,0,0,5.726860e-01
57,57,0,0,5.795809e-01
58,58,0,0,6.488889e-01
59,59,0,0,7.042078e-01
60,60,0,0,8.812857e-01
61,61,0,0,6.968068e-01
62,62,0,0,6.883550e-01
63,63,0,0,7.125761e-01
64,64,0,0,6.332165e-01
65,65,0,0,5.925546e-01
66,66,0,0,6.680617e-01
67,67,0,0,7.176103e-01
68,68,0,0,5.843107e-01
69,69,0,0,8.386205e-01
70,70,0,0,7.296017e-01
71,71,0,0,6.126351e-01
72,72,0,0,6.790097e-01
73,73,0,0,6.644086e-01
74,74,0,0,7.177164e-01
75,75,0,0,7.176036e-01
76,76,0,0,7.055278e-01
77,77,0,0,7.505089e-01
78,78,0,0,9.434508e-01
79,79,0,0,6.532583e-01
80,80,0,0,6.918015e-01
81,81,0,0,1.012592e+00
82,82,0,0,6.299063e-01
83,83,0,0,6.747809e-01
84,84,0,0,7.595878e-01
85,85,0,0,6.235885e-01
86,86,0,0,1.030826e+00
87,87,0,0,6.298189e-01
88,88,0,0,7.860562e-01
89,89,0,0,7.634376e-01
90,90,0,0,6.041473e-01
91,91,0,0,6.055948e-01
92,92,0,0,6.090161e-01
93,93,0,0,5.869418e-01
94,94,0,0,6.134386e-01
95,95,0,0,7.417829e-01
96,96,0,0,5.928820e-01
97,97,0,0,6.057471e-01
98,98,0,0,7.092213e-01
99,99,0,0,5.770923e-01
100,100,0,0,7.701879e-01
101,101,0,0,6.774125e-01
102,102,0,0,6.704295e-01
103,103,0,0,6.653142e-01
104,104,0,0,5.941180e-01
105,105,0,0,7.287040e-01
106,106,0,0,8.451122e-01
107,107,0,0,6.140649e-01
108,108,0,0,6.366425e-01
109,109,0,0,6.135907e-01
110,110,0,0,7.476160e-01
